product_id,title,link,execution_status,delete_status,verified_absent_products_list,verified_absent_productstatuses_list,error
online:pt:BR:15031239196158973196,Nike Air Force 1 07 White - Tamanho 45,https://lksneakers.com.br/products/nike-air-force-1-07-white,deleted_exact_product_id,ok,True,True,
online:pt:BR:9250025623243509812,Calça Saint Studio Wide Alfaiataria Risca de Giz Preta,https://lksneakers.com.br/products/calca-saint-studio-wide-alfaiataria-risca-de-giz-preta,deleted_exact_product_id,ok,True,True,
online:pt:BR:13622509763707629816,Calça Saint Studio Wide Alfaiataria Risca de Giz Cinza,https://lksneakers.com.br/products/calca-saint-studio-wide-alfaiataria-risca-de-giz-cinza,deleted_exact_product_id,ok,True,True,
online:pt:BR:10591784840915585992,Boné Saint Studio Art Department Azul - LK,https://lksneakers.com.br/products/bone-saint-studio-art-department-azul,deleted_exact_product_id,ok,False,True,
online:pt:BR:3876299146406606317,Calça Saint Studio Jeans Baggy Preta,https://lksneakers.com.br/products/calca-saint-studio-jeans-baggy-preta,deleted_exact_product_id,ok,False,True,
online:pt:BR:10002025469927148791,Calça Nude Project Jeans Soft Velvet Azul Marinho,https://lksneakers.com.br/products/calca-nude-project-jeans-soft-velvet-azul-marinho,deleted_exact_product_id,ok,False,True,
online:pt:BR:1624428988081867066,Boné Aimé Leon Dore Porsche Nylon Logo Aspen Gold Amarelo | LK Sneaker,https://lksneakers.com.br/products/bone-aime-leon-dore-porsche-nylon-logo-aspen-gold-amarelo,deleted_exact_product_id,ok,True,True,
online:pt:BR:6562590402534581177,Calça Nude Project Illegal Jeans Ash Cinza - LK,https://lksneakers.com.br/products/calca-nude-project-illegal-jeans-ash-cinza,deleted_exact_product_id,ok,False,True,
online:pt:BR:2258634078163248862,Calça Chino Saint Studio Supima Preto,https://lksneakers.com.br/products/calca-chino-saint-studio-supima-preto,deleted_exact_product_id,ok,False,True,
online:pt:BR:13498809788548851139,Moletom Essentials Fear of God Jet black SS24 Preto | LK Sneakers,https://lksneakers.com.br/products/moletom-essentials-fear-of-god-jet-black-ss24-preto,deleted_exact_product_id,ok,False,True,
online:pt:BR:4041641007094962608,Camisa Saint Studio Trico Palha | LK Sneakers,https://lksneakers.com.br/products/camisa-saint-studio-trico-palha,deleted_exact_product_id,ok,False,True,
online:pt:BR:11314792792398542744,Moletom Oversized Nylon Fear of God Essentials Jet Black Preto,https://lksneakers.com.br/products/moletom-oversized-nylon-fear-of-god-essentials-jet-black-preto,deleted_exact_product_id,ok,True,True,
