issue_key,count
price_updated,1089
strikethrough_price_updated,516
restricted_gtin,100
missing_item_attribute_for_product_type,44
availability_updated,30
landing_page_error,27
image_single_color,8
reserved_gtin,6
image_link_broken,6
landing_page_pending_crawl,5
condition_updated_from_detected,4
restricted_nfs_policy_violation,4
coupon_gtin,3
multiple_sizes,2
pause_expired,2
item_missing_required_attribute,1
sexual_interests_policy_violation,1
image_too_small_for_high_resolution,1
