product_id,absent_from_products_list,absent_from_productstatuses_list
online:pt:BR:11810372920072143991,True,True
online:pt:BR:3876299146406606317,True,True
online:pt:BR:6562590402534581177,True,True
online:pt:BR:2258634078163248862,True,True
online:pt:BR:15334125053592144145,True,True
online:pt:BR:13498809788548851139,True,True
online:pt:BR:10002025469927148791,True,True
online:pt:BR:14252480804615463970,True,True
online:pt:BR:4041641007094962608,True,True
online:pt:BR:10591784840915585992,True,True
online:pt:BR:15031239196158973196,True,True
online:pt:BR:13622509763707629816,True,True
online:pt:BR:9250025623243509812,True,True
online:pt:BR:13294493627572294660,True,True
online:pt:BR:1475186660255881483,True,True
online:pt:BR:13315860803624221806,True,True
online:pt:BR:1624428988081867066,True,True
online:pt:BR:15507753369156717392,True,True
online:pt:BR:11314792792398542744,True,True
online:pt:BR:10695397335246538087,True,True
