sku_or_offer_id,product_id,root_cause_classification,shopify_variant_match_count,url_checked,http_status,final_url,evidence_summary,safe_next_action,write_allowed_now
JI3185-7,online:pt:BR:JI3185-7,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-adidas-samba-og-cream-white-cardboard-creme,200,https://lksneakers.com.br/products/tenis-adidas-samba-og-cream-white-cardboard-creme,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
HQ4309-610-40,online:pt:BR:HQ4309-610-40,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/slide-nike-mind-001-pearl-pink-rosa,200,https://lksneakers.com.br/products/slide-nike-mind-001-pearl-pink-rosa,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
U204L2SZ-36,online:pt:BR:U204L2SZ-36,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-new-balance-204l-sea-salt-linen-bege,200,https://lksneakers.com.br/products/tenis-new-balance-204l-sea-salt-linen-bege,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
U1906LNT-10,online:pt:BR:U1906LNT-10,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-new-balance-1906l-black-suede-preto,200,https://lksneakers.com.br/products/tenis-new-balance-1906l-black-suede-preto,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
JH5439-8,online:pt:BR:JH5439-8,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-adidas-handball-spezial-bordo,200,https://lksneakers.com.br/products/tenis-adidas-handball-spezial-bordo,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
JH5439-6,online:pt:BR:JH5439-6,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-adidas-handball-spezial-bordo,200,https://lksneakers.com.br/products/tenis-adidas-handball-spezial-bordo,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
HQ4307-101-38,online:pt:BR:HQ4307-101-38,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/slide-nike-mind-001-white-speed-red-branco,200,https://lksneakers.com.br/products/slide-nike-mind-001-white-speed-red-branco,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
HQ4307-300-43,online:pt:BR:HQ4307-300-43,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/slide-nike-mind-001-mineral-slate-verde,200,https://lksneakers.com.br/products/slide-nike-mind-001-mineral-slate-verde,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
4150234_3581_412-2,online:pt:BR:4150234_3581_412-2,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/chinelo-havaianas-top-dolce-gabbana-faux-fur-leopardo-marrom,200,https://lksneakers.com.br/products/chinelo-havaianas-top-dolce-gabbana-faux-fur-leopardo-marrom,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
U204L2SZ-44,online:pt:BR:U204L2SZ-44,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-new-balance-204l-sea-salt-linen-bege,200,https://lksneakers.com.br/products/tenis-new-balance-204l-sea-salt-linen-bege,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
ST64,online:pt:BR:ST64,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/calca-saint-studio-jeans-baggy-risca-de-giz-azul,200,https://lksneakers.com.br/products/calca-saint-studio-jeans-baggy-risca-de-giz-azul,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
YR0067,online:pt:BR:YR0067,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/calca-pace-nomo-tailoring-trousers-preto,200,https://lksneakers.com.br/products/calca-pace-nomo-tailoring-trousers-preto,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
CUNISPHEREBLK-1,online:pt:BR:CUNISPHEREBLK-1,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/camiseta-aime-leon-dore-unisphere-preto,200,https://lksneakers.com.br/products/camiseta-aime-leon-dore-unisphere-preto,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
JI3185-8,online:pt:BR:JI3185-8,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-adidas-samba-og-cream-white-cardboard-creme,200,https://lksneakers.com.br/products/tenis-adidas-samba-og-cream-white-cardboard-creme,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
JI3185-3,online:pt:BR:JI3185-3,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-adidas-samba-og-cream-white-cardboard-creme,200,https://lksneakers.com.br/products/tenis-adidas-samba-og-cream-white-cardboard-creme,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
125AS254481F-5,online:pt:BR:125AS254481F-5,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/camiseta-fear-of-god-essentials-varsity-90s-short-sleeve-tee-cinza,200,https://lksneakers.com.br/products/camiseta-fear-of-god-essentials-varsity-90s-short-sleeve-tee-cinza,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
HQ4309-610-38,online:pt:BR:HQ4309-610-38,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/slide-nike-mind-001-pearl-pink-rosa,200,https://lksneakers.com.br/products/slide-nike-mind-001-pearl-pink-rosa,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
JQ9231-6,online:pt:BR:JQ9231-6,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-adidas-ballerina-bad-bunny-off-white-black-gum-branco,200,https://lksneakers.com.br/products/tenis-adidas-ballerina-bad-bunny-off-white-black-gum-branco,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
U1906LAE-36,online:pt:BR:U1906LAE-36,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-new-balance-1906l-silver-shadow-grey-mesh-sintetico-slip-on,200,https://lksneakers.com.br/products/tenis-new-balance-1906l-silver-shadow-grey-mesh-sintetico-slip-on,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
U1906LNT-11,online:pt:BR:U1906LNT-11,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-new-balance-1906l-black-suede-preto,200,https://lksneakers.com.br/products/tenis-new-balance-1906l-black-suede-preto,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
ST70,online:pt:BR:ST70,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/bermuda-saint-studio-alfaiataria-algodao-organico-risca-de-giz-preto,200,https://lksneakers.com.br/products/bermuda-saint-studio-alfaiataria-algodao-organico-risca-de-giz-preto,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
1025116-1A17741_2NM5J-4,online:pt:BR:1025116-1A17741_2NM5J-4,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-tai-chi-sakura-suede-sneakers-brown-bege,200,https://lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-tai-chi-sakura-suede-sneakers-brown-bege,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
5362-1,online:pt:BR:5362-1,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/camiseta-oversized-dane-se-pare-respire-off-white,200,https://lksneakers.com.br/products/camiseta-oversized-dane-se-pare-respire-off-white,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
JH5439-7,online:pt:BR:JH5439-7,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-adidas-handball-spezial-bordo,200,https://lksneakers.com.br/products/tenis-adidas-handball-spezial-bordo,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
U204L2SZ-42,online:pt:BR:U204L2SZ-42,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-new-balance-204l-sea-salt-linen-bege,200,https://lksneakers.com.br/products/tenis-new-balance-204l-sea-salt-linen-bege,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
YR0066,online:pt:BR:YR0066,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/calca-pace-nomo-tailoring-trousers-preto,200,https://lksneakers.com.br/products/calca-pace-nomo-tailoring-trousers-preto,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
1025116-1A17741_2NM5J-9,online:pt:BR:1025116-1A17741_2NM5J-9,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-tai-chi-sakura-suede-sneakers-brown-bege,200,https://lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-tai-chi-sakura-suede-sneakers-brown-bege,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
HQ4307-101-44,online:pt:BR:HQ4307-101-44,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/slide-nike-mind-001-white-speed-red-branco,200,https://lksneakers.com.br/products/slide-nike-mind-001-white-speed-red-branco,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
1023851-1A17746_2NM8J-6,online:pt:BR:1023851-1A17746_2NM8J-6,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom,200,https://lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
HQ4307-100-40,online:pt:BR:HQ4307-100-40,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/slide-nike-mind-001-sail-bege,200,https://lksneakers.com.br/products/slide-nike-mind-001-sail-bege,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
HQ4307-300-42,online:pt:BR:HQ4307-300-42,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/slide-nike-mind-001-mineral-slate-verde,200,https://lksneakers.com.br/products/slide-nike-mind-001-mineral-slate-verde,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
JQ9231-3,online:pt:BR:JQ9231-3,pdp_ok_checkout_url_issue_likely_attribute_or_merchant_checkout,1,https://lksneakers.com.br/products/tenis-adidas-ballerina-bad-bunny-off-white-black-gum-branco,200,https://lksneakers.com.br/products/tenis-adidas-ballerina-bad-bunny-off-white-black-gum-branco,"PDP is reachable; Merchant checkout URL issue likely comes from automatic checkout/merchant account setting or feed attribute context, not a dead PDP.",Prioritize Merchant diagnostics and required attributes; no Shopify PDP URL write indicated from this sample.,False
