window,influencer,ad_ids_count,spend,purchases,value,roas,cpa,clicks,impressions,ad_ids
mtd,Lala Noleto,15,2208.59,25.0,63539.75,28.77,88.34,2359,28222,"120231766207010224,120231767068900224,120232875421310224,120236212896640224,120244210555790224,120244210826730224,120244215159330224,120244215775820224,120244215857680224,120244215857690224,120244215857700224,120244215857710224,120244215880630224,120244215880640224,120244215880650224"
mtd,Silvia Henz,30,2433.8,16.0,55955.97,22.99,152.11,7562,81349,"120237633068340224,120237637374840224,120237637457570224,120237637520810224,120237980506920224,120237980795590224,120237980933830224,120237981162140224,120237981332760224,120237981332770224,120237981332780224,120237981332790224,120238259921660224,120238260359010224,120238260384850224,120238260522470224,120238260543140224,120238260665350224,120238260772690224,120241549835490224,120241549893220224,120242098723910224,120242098807580224,120242098916780224,120242098977280224,120242098977300224,120242099000680224,120242099000700224,120242099000750224,120242099000790224"
mtd,Arlindo,3,1185.55,11.0,29517.95,24.9,107.78,656,17055,"120242637471080224,120242637576320224,120242637583150224"
mtd,Helena Lunardelli,22,924.01,10.0,22648.6,24.51,92.4,982,10089,"120237392928140224,120237392979920224,120237393056970224,120237393432560224,120237393656580224,120237393697740224,120237393697750224,120237393697770224,120237393697780224,120237393697790224,120237637573380224,120237637573400224,120237637573410224,120237637573420224,120243712832640224,120243713571750224,120243713643590224,120243713643600224,120243713724740224,120243713724750224,120243713804420224,120243714604800224"
mtd,Ju Mesquita,8,1037.37,10.0,17169.96,16.55,103.74,1616,19562,"120240942507490224,120240942618020224,120240944126510224,120240944352680224,120240944479460224,120240944479470224,120240944479480224,120240944479490224"
mtd,Fiorela,9,263.84,6.0,19999.98,75.8,43.97,137,3023,"120242989696250224,120242989833200224,120242989881210224,120242989920830224,120242989920840224,120242989920850224,120242989926990224,120242989927000224,120242989927010224"
mtd,Maria,2,585.06,5.0,6480.0,11.08,117.01,6489,48449,"120229142869820224,120229680292090224"
mtd,Mariah,4,9.28,1.0,2199.99,237.07,9.28,34,418,"120235959757460224,120236024257710224,120236024944870224,120236353877810224"
mtd,Maria Fernanda,4,502.18,0.0,0.0,0.0,0,8593,157217,"120235354422280224,120235354695890224,120235354830020224,120236353877800224"
mtd,Taby,3,2.2,0.0,0.0,0.0,0,0,43,"120238351511710224,120238352175720224,120238352216230224"
mtd,Malu Borges,3,1.34,0.0,0.0,0.0,0,2,19,"120243342186850224,120243343108580224,120243343123050224"
mtd,Renata,5,0.67,0.0,0.0,0.0,0,0,20,"120237393662670224,120237938182780224,120237943072530224,120237943122040224,120237943237700224"
mtd,Hariana,2,0.5,0.0,0.0,0.0,0,0,15,"120240345372740224,120240346291270224"
mtd,Gio Pagano,1,0.18,0.0,0.0,0.0,0,1,8,120241550019240224
week,Lala Noleto,15,1726.18,15.0,22959.96,13.3,115.08,1796,21852,"120231766207010224,120231767068900224,120232875421310224,120236212896640224,120244210555790224,120244210826730224,120244215159330224,120244215775820224,120244215857680224,120244215857690224,120244215857700224,120244215857710224,120244215880630224,120244215880640224,120244215880650224"
week,Silvia Henz,29,2005.17,12.0,32399.95,16.16,167.1,5796,65045,"120237633068340224,120237637374840224,120237637457570224,120237637520810224,120237980506920224,120237980795590224,120237980933830224,120237981162140224,120237981332760224,120237981332770224,120237981332780224,120237981332790224,120238259921660224,120238260359010224,120238260384850224,120238260522470224,120238260543140224,120238260665350224,120238260772690224,120241549835490224,120241549893220224,120242098723910224,120242098807580224,120242098916780224,120242098977280224,120242099000680224,120242099000700224,120242099000750224,120242099000790224"
week,Helena Lunardelli,22,737.78,8.0,17848.62,24.19,92.22,747,7667,"120237392928140224,120237392979920224,120237393056970224,120237393432560224,120237393656580224,120237393697740224,120237393697750224,120237393697770224,120237393697780224,120237393697790224,120237637573380224,120237637573400224,120237637573410224,120237637573420224,120243712832640224,120243713571750224,120243713643590224,120243713643600224,120243713724740224,120243713724750224,120243713804420224,120243714604800224"
week,Ju Mesquita,8,902.33,8.0,12269.98,13.6,112.79,1376,17167,"120240942507490224,120240942618020224,120240944126510224,120240944352680224,120240944479460224,120240944479470224,120240944479480224,120240944479490224"
week,Arlindo,3,920.18,7.0,15659.97,17.02,131.45,491,13035,"120242637471080224,120242637576320224,120242637583150224"
week,Fiorela,9,220.8,6.0,19999.98,90.58,36.8,112,2506,"120242989696250224,120242989833200224,120242989881210224,120242989920830224,120242989920840224,120242989920850224,120242989926990224,120242989927000224,120242989927010224"
week,Maria,2,445.96,5.0,6480.0,14.53,89.19,4926,37653,"120229142869820224,120229680292090224"
week,Mariah,4,6.45,1.0,2199.99,341.08,6.45,19,264,"120235959757460224,120236024257710224,120236024944870224,120236353877810224"
week,Maria Fernanda,4,488.54,0.0,0.0,0.0,0,8358,154915,"120235354422280224,120235354695890224,120235354830020224,120236353877800224"
week,Malu Borges,3,1.32,0.0,0.0,0.0,0,2,18,"120243342186850224,120243343108580224,120243343123050224"
week,Renata,4,0.59,0.0,0.0,0.0,0,0,14,"120237393662670224,120237938182780224,120237943072530224,120237943237700224"
week,Hariana,2,0.46,0.0,0.0,0.0,0,0,14,"120240345372740224,120240346291270224"
week,Taby,3,0.43,0.0,0.0,0.0,0,0,10,"120238351511710224,120238352175720224,120238352216230224"
week,Gio Pagano,1,0.18,0.0,0.0,0.0,0,1,8,120241550019240224
