queue_id,lane,priority,title,decision_needed,recommended_option,reference_qty_not_purchase_qty,evidence_value,source_label,owner,next_safe_action,blocked_until_approval,source_file,write_allowed_now
LK-GMC-P1B-AVAILABILITY-TINY,google_feed_availability,P1,GMC P1-B availability via Tiny,Aguardar packet Tiny read-only finalizar; só aprovar availability para IDs ready com Tiny OK.,wait_packet_completion,,,fact_tiny_stock_pending+manual_approval_required,Hermes/LK data spine,Monitorar processo P1-B; preparar approval packet final quando houver contadores finais.,Merchant availability write; Tiny/Shopify/feed/DB/POS/campaign writes,reports/lk-gmc-2026-05-12-p1-availability-tiny-packet-running-status-2039.md,False
LK-QUOTE-20260504-20260510-01,sourcing_quote_approval,P1,Nike Moon Shoe SP Jacquemus,"Aprovar envio de cotação apenas para disponibilidade, custo e lead time; compra separada depois.",approve_quote_only,10,48999.92,fact_shopify+fact_tiny_stock+derived_reconciliation+manual_approval_pending,Lucas/Júlio,prepare_supplier_send_preview_with_named_destination,"purchase, purchase_order, reservation, shopify_write, tiny_write, price_or_stock_change, campaign_or_external_send",reports/lk-os-supplier-quote-approval-packet-2026-05-04_2026-05-10.json,False
LK-QUOTE-20260504-20260510-02,sourcing_quote_approval,P1,New Balance 9060,"Aprovar envio de cotação apenas para disponibilidade, custo e lead time; compra separada depois.",approve_quote_only,8,18799.93,fact_shopify+fact_tiny_stock+derived_reconciliation+manual_approval_pending,Lucas/Júlio,prepare_supplier_send_preview_with_named_destination,"purchase, purchase_order, reservation, shopify_write, tiny_write, price_or_stock_change, campaign_or_external_send",reports/lk-os-supplier-quote-approval-packet-2026-05-04_2026-05-10.json,False
LK-QUOTE-20260504-20260510-03,sourcing_quote_approval,P1,Nike Mind 002,"Aprovar envio de cotação apenas para disponibilidade, custo e lead time; compra separada depois.",approve_quote_only,3,6399.98,fact_shopify+fact_tiny_stock+derived_reconciliation+manual_approval_pending,Lucas/Júlio,prepare_supplier_send_preview_with_named_destination,"purchase, purchase_order, reservation, shopify_write, tiny_write, price_or_stock_change, campaign_or_external_send",reports/lk-os-supplier-quote-approval-packet-2026-05-04_2026-05-10.json,False
LK-QUOTE-20260504-20260510-04,sourcing_quote_approval,P1,Comme des Garçons PLAY Polo,"Aprovar envio de cotação apenas para disponibilidade, custo e lead time; compra separada depois.",approve_quote_only,3,3599.98,fact_shopify+fact_tiny_stock+derived_reconciliation+manual_approval_pending,Lucas/Júlio,prepare_supplier_send_preview_with_named_destination,"purchase, purchase_order, reservation, shopify_write, tiny_write, price_or_stock_change, campaign_or_external_send",reports/lk-os-supplier-quote-approval-packet-2026-05-04_2026-05-10.json,False
LK-CRM-P1-KLAVIYO-DRAFT,crm_gate,P1,"Klaviyo P1 draft, loja física recompra",Revisar campanha Draft; envio/agendamento/flow continuam bloqueados.,review_only_no_send,,,fact_klaviyo_draft+manual_approval_required,Lucas,Lucas review by verified list/template/campaign IDs; prepare send packet only if explicitly requested.,"send, schedule, flow, customer contact",reports/lk-phase5-p1-klaviyo-klaviyo-objects-2026-05-11.md,False
MC-internal_code_hygiene-bearbrick-series-48,internal_code_hygiene,P1,Bearbrick Series 48,Nenhuma ação externa; manter higiene/monitoramento local conforme evidência.,local_readonly_or_monitor,,,derived_reconciliation,Hermes/LK data spine,Exact product was found with zero stock but Tiny codigo is blank; prepare internal code hygiene before external sourcing.,external sourcing/contact/purchase still blocked; local/read-only hygiene allowed,reports/lk-needs-data-autofix-readonly-2026-05-12.json,False
MC-data_resolved_monitor-onitsuka-tiger-mexico-66,data_resolved_monitor,P1,Onitsuka Tiger Mexico 66,Nenhuma ação externa; manter higiene/monitoramento local conforme evidência.,local_readonly_or_monitor,,,derived_reconciliation,Hermes/LK data spine,Shopify/Tiny SKU mapping is resolved and stock exists; no quote/sourcing needed now.,external sourcing/contact/purchase still blocked; local/read-only hygiene allowed,reports/lk-needs-data-autofix-readonly-2026-05-12.json,False
MC-data_resolved_monitor-camiseta-saint-studio-boxy,data_resolved_monitor,P1,Camiseta Saint Studio Boxy,Nenhuma ação externa; manter higiene/monitoramento local conforme evidência.,local_readonly_or_monitor,,,derived_reconciliation,Hermes/LK data spine,Exact product/size was found in Tiny and stock exists; Tiny codigo remains a hygiene issue but not a sourcing blocker.,external sourcing/contact/purchase still blocked; local/read-only hygiene allowed,reports/lk-needs-data-autofix-readonly-2026-05-12.json,False
LK-QUOTE-20260504-20260510-05,sourcing_quote_approval,P2,New Balance 530,Opcional: cotar junto se fornecedor já responder P0; caso contrário manter em observação.,hold_or_bundle_with_p0,2,5999.97,fact_shopify+fact_tiny_stock+derived_reconciliation+manual_approval_pending,Lucas/Júlio,bundle_in_existing_p0_quote_preview_only,"purchase, purchase_order, reservation, shopify_write, tiny_write, price_or_stock_change, campaign_or_external_send",reports/lk-os-supplier-quote-approval-packet-2026-05-04_2026-05-10.json,False
